dataset_id,title,description,domain,country,last_modified,temporal_span_years,update_frequency,has_coordinates,spatial_precision,is_open_license,license,format,description_length,num_keywords,has_eurovoc,num_languages,has_multilingual,publisher_type,publisher,dataset_uri,modified_date,temporal_start,temporal_end,keyword_raw,language_raw,has_license_flag,has_temporal_flag,is_machine_readable
http://data.europa.eu/88u/dataset/022ba730-213c-4315-8717-d1be0be3d59d,WFS INSPIRE BPL Lehenbrunnen - 3. Aenderung,WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Lehenbrunnen - 3. Aenderung“ der Stadt Schömberg basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-09,0,unknown,True,coordinates,False,,,21,14,False,1,False,other,,http://data.europa.eu/88u/dataset/022ba730-213c-4315-8717-d1be0be3d59d,2021-09-09,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | Lehenbrunnen - 3. Aenderung | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/026d2f00-e608-4a67-82bc-8f1ec6ef06bb,WMS INSPIRE BPL Sauwasen - Im Wolf I,WMS-Dienst des nach INSPIRE transformierten Bebauungsplans „Sauwasen - Im Wolf I“ der Gemeinde Zimmern ob Rottweil basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-04,0,unknown,True,coordinates,False,,,24,14,False,1,False,other,,http://data.europa.eu/88u/dataset/026d2f00-e608-4a67-82bc-8f1ec6ef06bb,2021-09-04,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | Sauwasen - Im Wolf I | infoMapAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/0585d4de-a3ff-4c75-bb3e-eded4718f0c4,WFS INSPIRE BPL Nassen-Langen - 4. Änderung,WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Nassen-Langen - 4. Änderung“ der Gemeinde Spraitbach basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-05,0,unknown,True,coordinates,False,,,21,14,False,1,False,other,,http://data.europa.eu/88u/dataset/0585d4de-a3ff-4c75-bb3e-eded4718f0c4,2021-09-05,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | Nassen-Langen - 4. Änderung | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/05cf7d50-b8c6-4097-b41b-8f1aad4291ea,WFS INSPIRE BPL Am Sportplatz (6. Änderung),WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Am Sportplatz (6. Änderung)“ der Stadt Wendlingen am Neckar basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-05,0,unknown,True,coordinates,False,,,23,14,False,1,False,other,,http://data.europa.eu/88u/dataset/05cf7d50-b8c6-4097-b41b-8f1aad4291ea,2021-09-05,,,Am Sportplatz (6. Änderung) | B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/065af37e-7b39-4444-aa2c-07692542f45e,WMS INSPIRE BPL Beethovenstraße Botnang,WMS-Dienst des nach INSPIRE transformierten Bebauungsplans „Beethovenstraße Botnang“ der Stadt Stuttgart basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2021-09-10,0,unknown,True,coordinates,False,,,19,14,False,1,False,other,,http://data.europa.eu/88u/dataset/065af37e-7b39-4444-aa2c-07692542f45e,2021-09-10,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | Beethovenstraße Botnang | GDI-BW | PlannedLandUse | infoMapAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/06757e0a-7b1a-46aa-9638-370e9a0e64a5,WFS INSPIRE BPL Am Hager,WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Am Hager“ der Stadt Osterburken basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2022-02-14,0,unknown,True,coordinates,False,,,19,14,False,1,False,other,,http://data.europa.eu/88u/dataset/06757e0a-7b1a-46aa-9638-370e9a0e64a5,2022-02-14,,,Am Hager | B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/af1526e2-95fd-45ef-a69a-227f4bbf0e4f,WFS INSPIRE BPL Alte Weingärten,WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Alte Weingärten“ der Gemeinde Eberdingen basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2024-04-04,0,unknown,True,coordinates,False,,,19,14,False,1,False,other,,http://data.europa.eu/88u/dataset/af1526e2-95fd-45ef-a69a-227f4bbf0e4f,2024-04-04,,,Alte Weingärten | B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/b0bc36be-f7bd-43df-a46e-7655173355ef,"WFS INSPIRE BPL (014/17)Bahnunterführung Süd, Änderung 1","WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „(014/17)Bahnunterführung Süd, Änderung 1“ der Stadt Lörrach basierend auf einem XPlanung-Datensatz in der Version 5.0.",drought_early_warning,unknown,2021-11-08,0,unknown,True,coordinates,False,,,21,14,False,1,False,other,,http://data.europa.eu/88u/dataset/b0bc36be-f7bd-43df-a46e-7655173355ef,2021-11-08,,,"(014/17)Bahnunterführung Süd, Änderung 1 | B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | GDI-BW | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert",,False,True,False
http://data.europa.eu/88u/dataset/ca541290-c751-4da5-92d1-1240c619543c,WFS INSPIRE BPL Bei der alten Ziegelei Erweiterung (1.Änderung),WFS-Dienst des nach INSPIRE transformierten Bebauungsplans „Bei der alten Ziegelei Erweiterung (1.Änderung)“ der Gemeinde Illerkirchberg basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2022-06-22,0,unknown,True,coordinates,False,,,23,14,False,1,False,other,,http://data.europa.eu/88u/dataset/ca541290-c751-4da5-92d1-1240c619543c,2022-06-22,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | Bei der alten Ziegelei Erweiterung (1.Änderung) | GDI-BW | PlannedLandUse | infoFeatureAccessService | infraLocal | inspireidentifiziert,,False,True,False
http://data.europa.eu/88u/dataset/e5ec622c-68f8-4250-b667-d7123ad8b3ef,WMS INSPIRE BPL Dennhof-West,WMS-Dienst des nach INSPIRE transformierten Bebauungsplans „Dennhof-West“ der Gemeinde Mainhardt basierend auf einem XPlanung-Datensatz in der Version 5.0.,drought_early_warning,unknown,2022-06-22,0,unknown,True,coordinates,False,,,18,14,False,1,False,other,,http://data.europa.eu/88u/dataset/e5ec622c-68f8-4250-b667-d7123ad8b3ef,2022-06-22,,,B-Plan | Bauleitplan | Bauleitpläne | Bauplatz | Bauplätze | Bauvorschrift | Bebauungsplan | Bebauungspläne | Dennhof-West | GDI-BW | PlannedLandUse | infoMapAccessService | infraLocal | inspireidentifiziert,,False,True,False
